,DimKey,DimAlternateKey,BatchId,DateFrom,DateTo,Description,IATACode,LVOwned,WorldRegionCode,WorldRegionDescription,CountryCode,Country,National,Schengen,Eu,Eøs,AirportCode,AirportCity,0,Null
10,2910,ENBO,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Bodø,BOO,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,BOO,Bodø,0.0,
11,2911,ENBO,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Bodø,BOO,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,BOO,Bodø,0.0,
12,2912,ENBR,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Bergen,BGO,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,BGO,Bergen,0.0,
13,2913,ENBR,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Bergen,BGO,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,BGO,Bergen,0.0,
14,2914,ENBS,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Båtsfjord,BJF,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,BJF,Båtsfjord,0.0,
15,2915,ENBS,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Båtsfjord,BJF,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,BJF,Båtsfjord,0.0,
16,2916,ENBV,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Berlevåg,BVG,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,BVG,Berlevaag,0.0,
17,2917,ENBV,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Berlevåg,BVG,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,BVG,Berlevaag,0.0,
18,2918,ENCN,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Kristiansand,KRS,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,KRS,Kristiansand,0.0,
19,2919,ENCN,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Kristiansand,KRS,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,KRS,Kristiansand,0.0,
20,2925,ENDI,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Dagali,DLD,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,DLD,Dagali,0.0,
21,2926,ENDI,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Dagali,DLD,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,DLD,Dagali,0.0,
22,2933,ENDU,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Bardufoss,BDU,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,BDU,Bardufoss,0.0,
23,2934,ENDU,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Bardufoss,BDU,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,BDU,Bardufoss,0.0,
24,2943,ENEV,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Harstad/Narvik,EVE,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,EVE,Harstad/Narvik,0.0,
25,2944,ENEV,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Harstad/Narvik,EVE,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,EVE,Harstad/Narvik,0.0,
26,3258,ENFG,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Fagernes,VDB,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,VDB,Fagernes,0.0,
27,3259,ENFG,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Fagernes,VDB,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,VDB,Fagernes,0.0,
28,3262,ENFL,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Florø,FRO,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,FRO,Florø,0.0,
29,3263,ENFL,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Florø,FRO,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,FRO,Florø,0.0,
30,3282,ENGM,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Oslo,OSL,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,OSL,Oslo,0.0,
31,3283,ENGM,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Oslo,OSL,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,OSL,Oslo,0.0,
32,3288,ENHA,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Hamar,HMR,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,HMR,Hamar,0.0,
33,3289,ENHA,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Hamar,HMR,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,HMR,Hamar,0.0,
34,3290,ENHD,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Haugesund,HAU,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,HAU,Haugesund,0.0,
35,3291,ENHD,0,2001-03-25 00:00:00.000,2019-05-11 00:00:00.000,Haugesund,HAU,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,HAU,Haugesund,0.0,
36,3294,ENHF,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Hammerfest,HFT,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,HFT,Hammerfest,0.0,
37,3295,ENHF,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Hammerfest,HFT,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,HFT,Hammerfest,0.0,
38,3296,ENHK,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Hasvik,HAA,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,HAA,Hasvik,0.0,
39,3297,ENHK,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Hasvik,HAA,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,HAA,Hasvik,0.0,
40,3309,ENHV,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Honningsvåg,HVG,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,HVG,Honningsvaag,0.0,
41,3310,ENHV,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Honningsvåg,HVG,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,HVG,Honningsvaag,0.0,
42,3323,ENKB,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Kristiansund,KSU,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,KSU,Kristiansund,0.0,
43,3324,ENKB,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Kristiansund,KSU,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,KSU,Kristiansund,0.0,
44,3327,ENKL,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Gol/ Klanten,GLL,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,GLL,Gol,0.0,
45,3328,ENKL,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Gol/ Klanten,GLL,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,GLL,Gol,0.0,
46,3329,ENKR,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Kirkenes,KKN,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,KKN,Kirkenes,0.0,
47,3330,ENKR,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Kirkenes,KKN,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,KKN,Kirkenes,0.0,
48,3338,ENLI,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Farsund,FAN,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,FAN,Farsund,0.0,
49,3339,ENLI,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Farsund,FAN,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,FAN,Farsund,0.0,
50,3340,ENLK,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Leknes,LKN,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,LKN,Leknes,0.0,
51,3341,ENLK,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Leknes,LKN,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,LKN,Leknes,0.0,
52,3347,ENMH,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Mehamn,MEH,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,MEH,Mehamn,0.0,
53,3348,ENMH,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Mehamn,MEH,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,MEH,Mehamn,0.0,
54,3349,ENML,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Molde,MOL,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,MOL,Molde,0.0,
55,3350,ENML,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Molde,MOL,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,MOL,Molde,0.0,
56,3351,ENMS,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Mosjøen,MJF,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,MJF,Mosjøen,0.0,
